z_acc,y_acc,push_detect,z_dynpeak
2,-1,0,33
5,-2,0,33
5,1,0,33
-5,5,0,33
4,0,0,33
0,0,0,33
5,1,0,33
2,-8,0,33
-2,-3,0,33
1,-1,0,33
-2,3,0,33
-1,-2,0,33
-4,1,0,33
3,0,0,33
-2,-2,0,33
-2,1,0,33
-3,0,0,33
-1,1,0,33
-1,0,0,33
1,0,0,33
3,-2,0,33
13,-1,0,33
12,3,0,33
48,5,0,33
48,5,1,33
55,-11,0,34
38,-34,0,36
3,-40,0,36
0,-4,0,36
0,66,0,36
-82,51,0,36
-188,52,0,36
-126,16,0,36
-86,-15,0,36
-31,-33,0,36
-4,-15,0,36
189,-40,0,36
136,-14,0,51
125,-4,0,59
-21,3,0,65
-46,0,0,65
-56,3,0,65
-1,7,0,65
-4,-2,0,65
-8,-2,0,65
-7,1,0,65
3,0,0,65
3,-4,0,65
4,1,0,65
4,0,0,65
4,-2,0,65
2,-1,0,65
7,5,0,65
7,4,0,65
6,4,0,65
25,-4,0,65
8,-3,0,51
58,5,0,51
58,5,1,51
56,-5,0,51
5,-5,0,51
0,-3,0,51
0,-30,0,51
0,29,0,51
0,31,0,51
-133,39,0,51
-159,-4,0,51
-96,-12,0,51
-115,-45,0,51
-12,-47,0,51
263,27,0,51
223,29,0,72
15,-8,0,87
-33,-12,0,87
-76,-5,0,87
-86,12,0,87
-7,-1,0,87
12,-2,0,87
17,-1,0,87
16,-2,0,87
-2,-1,0,87
-6,-8,0,87
-19,-5,0,87
-11,-1,0,87
-16,3,0,87
12,-4,0,87
15,-4,0,87
26,5,0,87
58,11,0,66
56,2,0,63
41,-27,0,60
4,-41,0,53
0,-15,0,53
-11,61,0,53
-172,73,0,53
-61,16,0,53
-101,21,0,53
-154,-40,0,53
-16,-24,0,53
-2,-50,0,53
206,11,0,53
206,11,1,53
199,19,0,68
70,-15,0,81
-50,-15,0,77
-34,0,0,77
-60,9,0,77
-28,17,0,77
9,5,0,77
35,-4,0,77
14,-3,0,63
6,-4,0,63
-7,-3,0,63
-5,-1,0,63
-15,-11,0,63
-7,-5,0,63
2,-3,0,63
0,-1,0,63
9,12,0,63
13,13,0,63
-1,3,0,63
-13,7,0,63
11,8,0,63
-3,0,0,63
-13,5,0,63
-2,-4,0,63
8,-21,0,63
-5,-13,0,63
3,5,0,63
-2,4,0,63
23,5,0,63
11,-7,0,49
-1,-14,0,49
1,2,0,49
-4,-2,0,49
-33,30,0,49
22,-14,0,49
